id,name,image_path,description,purchase_url
26,妖芽音りる,new-png-assets2/26_妖芽音りる.png,妖芽音りる,https://attendme.official.ec/items/120881760
27,愛音えみ,new-png-assets2/27_愛音えみ.png,愛音えみ,https://attendme.official.ec/items/120881746
28,ネル・メモワール,new-png-assets2/28_ネル・メモワール.png,ネル・メモワール,https://attendme.official.ec/items/120881732
29,花咲のばら,new-png-assets2/29_花咲のばら.png,花咲のばら,https://attendme.official.ec/items/120881732
30,桜結こえび,new-png-assets2/30_桜結こえび.png,桜結こえび,https://attendme.official.ec/items/120881718
31,うぎちゃみパイセン,new-png-assets2/31_うぎちゃみパイセン.png,うぎちゃみパイセン,https://attendme.official.ec/items/120881704
32,すきうーろす,new-png-assets2/32_すきうーろす.png,すきうーろす,https://attendme.official.ec/items/120881690
33,夜空音彩,new-png-assets2/33_夜空音彩.png,夜空音彩,https://attendme.official.ec/items/120881676
34,二兎こばこ,new-png-assets2/34_二兎こばこ.png,二兎こばこ,https://attendme.official.ec/items/120881662
35,乃茨アリア,new-png-assets2/35_乃茨アリア.png,乃茨アリア,https://attendme.official.ec/items/120881648
36,狐宙くお,new-png-assets2/36_狐宙くお.png,狐宙くお,https://attendme.official.ec/items/120881634
37,狐狛ぎん,new-png-assets2/37_狐狛ぎん.png,狐狛ぎん,https://attendme.official.ec/items/120881620
38,ねろり,new-png-assets2/38_ねろり.png,ねろり,https://attendme.official.ec/items/120881606
39,宵月ゆきあ,new-png-assets2/39_宵月ゆきあ.png,宵月ゆきあ,https://attendme.official.ec/items/120881592
40,羽月らびぃ,new-png-assets2/40_羽月らびぃ.png,羽月らびぃ,https://attendme.official.ec/items/120881578
41,若草きよか,new-png-assets2/41_若草きよか.png,若草きよか,https://attendme.official.ec/items/120881564
42,紅葉丸,new-png-assets2/42_紅葉丸.png,紅葉丸,https://attendme.official.ec/items/120881550
43,宵月れゆり,new-png-assets2/43_宵月れゆり.png,宵月れゆり,https://attendme.official.ec/items/120881536
44,出雲ユイ,new-png-assets2/44_出雲ユイ.png,出雲ユイ,https://attendme.official.ec/items/120881522
45,月桜きさぴぃ,new-png-assets2/45_月桜きさぴぃ.png,月桜きさぴぃ,https://attendme.official.ec/items/120881508
46,羽柴紅魅,new-png-assets2/46_羽柴紅魅.png,羽柴紅魅,https://attendme.official.ec/items/120881494
47,蒼月はゆ,new-png-assets2/47_蒼月はゆ.png,蒼月はゆ,https://attendme.official.ec/items/120881480
48,巳ノ神ユヱ,new-png-assets2/48_巳ノ神ユヱ.png,巳ノ神ユヱ,https://attendme.official.ec/items/120881466
49,満莉音りま,new-png-assets2/49_満莉音りま.png,満莉音りま,https://attendme.official.ec/items/120881452
50,詩茉ありす,new-png-assets2/50_詩茉ありす.png,詩茉ありす,https://attendme.official.ec/items/120881438
51,唄麗桃虎,new-png-assets2/51_唄麗桃虎.png,唄麗桃虎,https://attendme.official.ec/items/120881424
52,勿忘草幽冥,new-png-assets2/52_勿忘草幽冥.png,勿忘草幽冥,https://attendme.official.ec/items/12088141
54,フェル,new-png-assets2/54_フェル.png,フェル,https://attendme.official.ec/items/12088141
55,天城リクト,new-png-assets2/55_天城リクト.png,天城リクト,https://attendme.official.ec/items/12088141
56,葛ノ葉 鈴撫,new-png-assets2/56_葛ノ葉 鈴撫.png,葛ノ葉 鈴撫,https://attendme.official.ec/items/12088141
57,月待兎和,new-png-assets2/57_月待兎和.png,月待兎和,https://attendme.official.ec/items/12088141
58,冬乃六花,new-png-assets2/58_冬乃六花.png,冬乃六花,https://attendme.official.ec/items/12088141
59,月実いのり,new-png-assets2/59_月実いのり.png,月実いのり,https://attendme.official.ec/items/12088141
60,三叉ぽけ,new-png-assets2/60_三叉ぽけ.png,三叉ぽけ,https://attendme.official.ec/items/12088141
61,寅田ぱんだ,new-png-assets2/61_寅田ぱんだ.png,寅田ぱんだ,https://attendme.official.ec/items/12088141
62,湊瀬もこ,new-png-assets2/62_湊瀬もこ.png,湊瀬もこ,https://attendme.official.ec/items/12088141
63,長月みるく,new-png-assets2/63_長月みるく.png,長月みるく,https://attendme.official.ec/items/12088141
64,火蛋やまぶき,new-png-assets2/64_火蛋やまぶき.png,火蛋やまぶき,https://attendme.official.ec/items/12088141
65, 柚月レイ,new-png-assets2/65_ 柚月レイ.png, 柚月レイ,https://attendme.official.ec/items/12088141
66,甘依めろん,new-png-assets2/66_甘依めろん.png,甘依めろん,https://attendme.official.ec/items/12088141
67,絣華ミタマ,new-png-assets2/67_絣華ミタマ.png,絣華ミタマ,https://attendme.official.ec/items/12088141
68,豆打あいり,new-png-assets2/68_豆打あいり.png,豆打あいり,https://attendme.official.ec/items/12088141
69,夢狩リリィ,new-png-assets2/69_夢狩リリィ.png,夢狩リリィ,https://attendme.official.ec/items/12088141
70,琴雅,new-png-assets2/70_琴雅.png,琴雅,https://attendme.official.ec/items/12088141
71,こつめゆゆ,new-png-assets2/71_こつめゆゆ.png,こつめゆゆ,https://attendme.official.ec/items/12088141
72,稲荷崎ナコモ,new-png-assets2/72_稲荷崎ナコモ.png,稲荷崎ナコモ,https://attendme.official.ec/items/12088141
73,虹乃ひかり,new-png-assets2/73_虹乃ひかり.png,虹乃ひかり,https://attendme.official.ec/items/12088141
74,鬼灯マートン,new-png-assets2/74_鬼灯マートン.png,鬼灯マートン,https://attendme.official.ec/items/12088141
75,雪平エリナ,new-png-assets2/75_雪平エリナ.png,雪平エリナ,https://attendme.official.ec/items/12088141
76,姫宮ここあ,new-png-assets2/76_姫宮ここあ.png,姫宮ここあ,https://attendme.official.ec/items/12088141
77,天魔みるく,new-png-assets2/77_天魔みるく.png,天魔みるく,https://attendme.official.ec/items/12088141
78,ヴェイルラヴィーナ,new-png-assets2/78_ヴェイルラヴィーナ.png,ヴェイルラヴィーナ,https://attendme.official.ec/items/12088141
79,詩香よい,new-png-assets2/79_詩香よい.png,詩香よい,https://attendme.official.ec/items/12088141
80,天水スイ,new-png-assets2/80_天水スイ.png,天水スイ,https://attendme.official.ec/items/12088141
81,猫々嶺のあ,new-png-assets2/81_猫々嶺のあ.png,猫々嶺のあ,https://attendme.official.ec/items/12088141
82,涼水しおり,new-png-assets2/82_涼水しおり.png,涼水しおり,https://attendme.official.ec/items/12088141
83,小石夕乃,new-png-assets2/83_小石夕乃.png,小石夕乃,https://attendme.official.ec/items/12088141
84,犬乃ぽめた。,new-png-assets2/84_犬乃ぽめた。.png,犬乃ぽめた。,https://attendme.official.ec/items/12088141
85,雲瑠璃ラピス,new-png-assets2/85_雲瑠璃ラピス.png,雲瑠璃ラピス,https://attendme.official.ec/items/12088141
86,桐谷こむぎ,new-png-assets2/86_桐谷こむぎ.png,桐谷こむぎ,https://attendme.official.ec/items/12088141
87,小花衣ひな,new-png-assets2/87_小花衣ひな.png,小花衣ひな,https://attendme.official.ec/items/12088141
88,胡桃眠,new-png-assets2/88_胡桃眠.png,胡桃眠,https://attendme.official.ec/items/12088141
89,箱庭秕,new-png-assets2/89_箱庭秕.png,箱庭秕,https://attendme.official.ec/items/12088141
